,high_formula,high_mpid,low_formula,low_mpid,average_voltage,battery_id,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume
60,P5WO15,mp-761371,LiP5WO15,mp-773952,5.391871595000003,mp-761371_Li,90.45664549254272,278.8848964202781,386.7753911455368,1192.458711133922,0.0199007392216004
61,FePO4,mp-540341,LiFe2(PO4)2,mp-768323,3.8609294966666616,mp-540341_Li,86.85600643122048,285.60864683870096,335.3449171929684,1102.714849082592,0.0224481009686068
62,LiFe2(PO4)2,mp-767263,LiFePO4,mp-774251,3.692889619999993,mp-767263_Li,84.94526346177638,255.90063836236288,313.69348170615865,945.012811159742,0.0074133143906844
63,FePO4,mp-694541,LiFe2(PO4)2,mp-767237,3.115360905000008,mp-694541_Li,86.85600643122048,242.5264352336109,270.5878068002536,755.5573747558078,0.0139060353329705
64,FePO4,mp-1101554,LiFePO4,mp-761474,3.322824209999998,mp-1101554_Li,169.89052692355276,489.7440160406524,564.5163559112376,1627.3332732025071,0.1137814390576779
65,P4WO12,mp-850493,LiP4WO12,mp-763407,3.575744775000009,mp-763407_Li,52.89743283417664,167.1956589986821,189.14771906772103,597.8490040672207,0.0160791417304628
66,Li7Mn(O2F)2,mp-767574,Li8Mn(O2F)2,mp-763440,1.597112889999996,mp-763440_Li,126.148095702717,310.658489687188,201.4727496957624,496.1566782673388,0.061226299022514
67,Li7Mn(O2F)2,mp-767185,Li8Mn(O2F)2,mp-780086,1.4272660499999907,mp-767185_Li,126.148095702717,310.1597228835822,180.0468942686377,442.6804425491421,0.055991445359091
68,Li3MnOF4,mp-767174,Li4MnOF4,mp-765757,2.851502559999998,mp-765757_Li,153.41865816795683,429.9854926902031,437.4736965176935,1226.1047331689745,0.0389077742959196
69,LiMn3(OF3)2,mp-767186,Li4Mn3(OF3)2,mp-768006,3.336802280000001,mp-767186_Li,237.4843382603631,800.4934286075569,792.438281371471,2671.088297702714,0.0371153615330681
70,Mn3(OF3)2,mp-767627,LiMn3(OF3)2,mp-767084,4.998079464999995,mp-767084_Li,84.34919771817509,323.6521643155191,421.58399300443534,1617.6392362682,0.0446796616189792
71,Li7VO5F,mp-764407,Li8VO5F,mp-765837,1.3437755500000086,mp-764214_Li,130.44311188349786,334.56810722435165,175.28626441496,449.584442297865,0.0430908018771476
72,VO2,mp-714960,Li3V8O16,mp-1177934,3.5644727900000013,mvc-11624_Li,365.6746700821202,1413.7950260446305,869.1677103562745,3360.432335727114,0.0314360004202716
73,Li3Mn3O5F3,mp-767119,Li5Mn3O5F3,mp-765333,2.6836208600000027,mp-765333_Li,159.29020989237492,570.1386626110801,427.4745300609561,1530.036008075598,0.0394710093306178
74,Mn2O2F3,mp-766920,LiMn2O2F3,mp-1176658,4.542434384999998,mp-1176658_Li,130.2236925430122,491.4805497820364,591.5325787490465,2232.518148888625,0.1062242617789623
75,Mn5OF11,mp-767182,Li3Mn5OF11,mp-764394,3.7990859966666672,mp-764394_Li,154.47686292710176,540.8192233213935,586.8708867553486,2054.618738048449,0.0414639716151994
76,Mn3OF6,mp-763856,Li2Mn3OF6,mp-763486,3.6027726974999985,mp-763486_Li,173.64885568382402,600.3885391558921,625.6173562097986,2163.0634367627567,0.1540801898973713
